word1,word2,combined,frequency
ಡಾರ್ಕ್,ವೆಬ್,ಡಾರ್ಕ್ವೆಬ್,high
ಬಿಟ್,ಕಾಯಿನ್,ಬಿಟ್ಕಾಯಿನ್,high
ವೆಬ್,ಸೈಟ್,ವೆಬ್ಸೈಟ್,high
ಸೈಟ್,ಗಳು,ಸೈಟ್ಗಳು,high
ಡಾರ್ಕ್,ನೆಟ್,ಡಾರ್ಕ್ನೆಟ್,high
ವೆಬ್,ನಲ್ಲಿ,ವೆಬ್ನಲ್ಲಿ,high
ನೆಟ್,ವರ್ಕ್,ನೆಟ್ವರ್ಕ್,medium
ವೆಬ್,ಅನ್ನು,ವೆಬ್ಅನ್ನು,medium
ಎಂದು,ಕರೆಯಲಾಗುತ್ತದೆ,ಎಂದುಕರೆಯಲಾಗುತ್ತದೆ,medium
ಡೀಪ್,ವೆಬ್,ಡೀಪ್ವೆಬ್,medium
ಸೈಟ್,ಗಳ,ಸೈಟ್ಗಳ,medium
ಮತ್ತು,ಡಾರ್ಕ್,ಮತ್ತುಡಾರ್ಕ್,medium
ಗಳು,ಮತ್ತು,ಗಳುಮತ್ತು,medium
ಚಂದ್ರಶೇಖರ್,ರಾವ್,ಚಂದ್ರಶೇಖರ್ರಾವ್,medium
ವರ್ಲ್ಡ್,ವೈಡ್,ವರ್ಲ್ಡ್ವೈಡ್,medium
ವೈಡ್,ವೆಬ್,ವೈಡ್ವೆಬ್,medium
ಸಿಲ್ಕ್,ರೋಡ್,ಸಿಲ್ಕ್ರೋಡ್,medium
ಮತ್ತು,ಇದನ್ನು,ಮತ್ತುಇದನ್ನು,low
ಎಂದು,ಕರೆಯುತ್ತಾರೆ,ಎಂದುಕರೆಯುತ್ತಾರೆ,low
ಮತ್ತು,ಅವರ,ಮತ್ತುಅವರ,low
ವೆಬ್,ಮೂಲಕ,ವೆಬ್ಮೂಲಕ,low
ಎನ್,ಕ್ರಿಪ್ಟ್,ಎನ್ಕ್ರಿಪ್ಟ್,low
ಗಳ,ಮೂಲಕ,ಗಳಮೂಲಕ,low
ಟಾರ್,ಬ್ರೌಸರ್,ಟಾರ್ಬ್ರೌಸರ್,low
ಫೇಸ್,ಬುಕ್,ಫೇಸ್ಬುಕ್,low
ಕ್ಕೂ,ಹೆಚ್ಚು,ಕ್ಕೂಹೆಚ್ಚು,low
ಮಕ್ಕಳ,ಅಶ್ಲೀಲ,ಮಕ್ಕಳಅಶ್ಲೀಲ,low
ಸೈಟ್,ಅನ್ನು,ಸೈಟ್ಅನ್ನು,low
ಡಿ,ಡಬ್ಲ್ಯೂ,ಡಿಡಬ್ಲ್ಯೂ,low
ಡಬ್ಲ್ಯೂ,ಎಸ್,ಡಬ್ಲ್ಯೂಎಸ್,low
ಎಸ್,ಎನ್,ಎಸ್ಎನ್,low
ಮೀ,ದೂರದಲ್ಲಿಯೂ,ಮೀದೂರದಲ್ಲಿಯೂ,low
೧೮,ಕಿ,೧೮ಕಿ,low
ಕಿ,ಮೀ,ಕಿಮೀ,low
ಇತಿಹಾಸಕಾರ,ಕಾಮತ್,ಇತಿಹಾಸಕಾರಕಾಮತ್,low
ಮೂರು,ದೇವಾಲಯಗಳ,ಮೂರುದೇವಾಲಯಗಳ,low
ಎಲ್ಲಾ,ಮೂರು,ಎಲ್ಲಾಮೂರು,low
